1,51,0,Debit,"$1,100.00",Approved
2,13,1,Debit,$250.00,Pending
3,21,2,Cash,$500.00,Pending
4,39,3,Credit,$750.00,Pending
5,57,4,Debit,$500.00,Approved
6,14,5,Cash,$250.00,Completed
7,45,6,Debit,$500.00,Pending
8,54,7,Credit,$250.00,Pending
9,11,9,Cash,$500.00,Pending
10,35,10,Debit,$500.00,Pending
11,23,11,Credit,"$1,100.00",Approved
12,57,12,Debit,"$1,100.00",Pending
13,3,13,Credit,$500.00,Approved
14,26,14,Cash,$250.00,Completed
15,8,15,Cash,$750.00,Pending
16,8,16,Debit,$500.00,Pending
17,45,17,Cash,"$1,100.00",Completed
18,53,19,Debit,$750.00,Pending
19,52,20,Debit,$500.00,Approved
20,61,22,Debit,$500.00,Pending
21,26,23,Debit,$500.00,Pending
